goods-img-url href (6),ineventArea,prdnoteArea
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13326964&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E6%89%8B%E9%8C%B6,"滿2件享97折

(說明)","小米 官方旗艦館 Redmi Watch 5 Active

穿戴大放價↘限時折扣價

滿2件享97折

(說明)

品號：13326964
2吋大螢幕 18天長續行
5ATM防水等級
支援藍芽功能
促銷價795元 賣貴通報
品牌名稱
:
小米 追蹤
 
結帳方式
:
信用卡
無卡分期
貨到付款
行動支付
超商付款
ATM
銀聯卡
刷momo卡消費回饋最高3%！
 
保固資訊
:
1年保固期 
配送方式
:
快速到貨/離島配送 未滿$490 運費$75超商/i郵箱/myfone門市取貨 滿$399出貨 
顏色
:
銀黑
 
數量
:
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
 
折價券
:

※特惠商品，不適用折價券

 "
,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000352,,
,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000293,,
,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000234,,
,,
https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000606,,
,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000117,,
,,
,,
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12745419&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E6%89%8B%E9%8C%B6,"滿1件享92折

(說明)","台灣12個月保固，質量有保障

APOLLO GX11戶外運動智慧手錶(2024新款、超高續航)

12/15~12/31

穿戴大放價↘限時92折

滿1件享92折

(說明)

品號：12745419
420mAh超長待機時間設計
防塵防水、100+運動模式
支援LINE通話(蘋果手機)
市售價1,299元 促銷價949元 折扣後價格873元 賣貴通報
品牌名稱
:
APOLLO 追蹤
 
結帳方式
:
信用卡
無卡分期
貨到付款
行動支付
超商付款
ATM
銀聯卡
刷momo卡消費回饋最高3%！
 
保固資訊
:
1年保固期更多 
配送方式
:
快速到貨/離島配送 未滿$490 運費$75超商/i郵箱/myfone門市取貨 滿$399出貨 
顏色
:
沙漠灰
 
數量
:
1
2
3
4
5
庫存低於5組
 
折價券
:

※特惠商品，不適用折價券

 "
,,
,,
https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000610,,
,,
,,
https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000608,,
https://www.momoshop.com.tw/TP/TP0004248/goodsDetail/TP00042480000287,,
,,
,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000535,,
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13778829&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E6%89%8B%E9%8C%B6,,"智能運動手錶 您的隨身教練

Acer 宏碁 智能運動手錶(超長續航 專業運動監測)

品號：13778829
健康監測
運動監測
即時訊息瀏覽
市售價2,499元 促銷價1,999元 賣貴通報
品牌名稱
:
Acer 宏碁 追蹤
 
結帳方式
:
信用卡
無卡分期
貨到付款
行動支付
超商付款
ATM
銀聯卡
刷momo卡消費回饋最高3%！
 
分期/紅利
:
24期	每期90元	更多
 
保固資訊
:
90天保固期更多 
配送方式
:
廠商宅配 未滿$490 運費$70超商取貨 未滿$490 運費$70 
顏色
:
黑色
 
數量
:
1
2
3
4
5
6
7
8
9
10
11
12
13
 
折價券
:

※特惠商品，不適用折價券

訂單確認後，商品預計2025/12/24出貨"
,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000292,,
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14314958&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E6%89%8B%E9%8C%B6,,"健康助手 精準測量

MIVSEN GTS8智慧手錶(AMOLED 心率血氧 全天健康監測智慧手環)


品號：14314958
2.0吋超大高清顯示 觀感舒適
精緻人體美學設計 堅柔一體
採用MAI健康評估系統
市售價1,899元 促銷價1,590元 賣貴通報
結帳方式
:
信用卡
無卡分期
貨到付款
行動支付
超商付款
ATM
銀聯卡
刷momo卡消費回饋最高3%！
 
分期/紅利
:
24期	每期72元	更多
 
保固資訊
:
90天保固期更多 
配送方式
:
快速到貨/離島配送 未滿$490 運費$75超商/i郵箱/myfone門市取貨 滿$399出貨 
顏色
:
GTS8矽膠黑色GTS8矽膠藍色
 
數量
:
1
2
庫存低於2組
 
折價券
:

※特惠商品，不適用折價券

 "
,,
,,
,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000111,,
,,
,,
,,
https://www.momoshop.com.tw/TP/TP0004833/goodsDetail/TP00048330000016,,
,,
,,
,,
